country_name,country_code,year,pop_65_plus
Sao Tome and Principe,STP,2000,4.23765002
Sao Tome and Principe,STP,2019,3.82254255
Saudi Arabia,SAU,2000,2.22837925
Saudi Arabia,SAU,2019,2.45024815
Senegal,SEN,2000,3.22899884
Senegal,SEN,2019,3.51051951
Serbia,SRB,2000,16.06817270
Serbia,SRB,2019,21.06436085
Seychelles,SYC,2000,7.42096546
Seychelles,SYC,2019,7.36545956
Sierra Leone,SLE,2000,3.53924616
Sierra Leone,SLE,2019,3.13516273
Singapore,SGP,2000,6.24975683
Singapore,SGP,2019,10.97505319
Sint Maarten (Dutch part),SXM,2000,2.96846313
Sint Maarten (Dutch part),SXM,2019,10.64269707
Slovak Republic,SVK,2000,11.32878463
Slovak Republic,SVK,2019,16.25918897
Slovenia,SVN,2000,13.90712577
Slovenia,SVN,2019,19.85166836
Solomon Islands,SLB,2000,3.39365540
Solomon Islands,SLB,2019,3.74189552
"Somalia, Fed. Rep.",SOM,2000,2.60195687
"Somalia, Fed. Rep.",SOM,2019,2.51777325
South Africa,ZAF,2000,4.74652112
South Africa,ZAF,2019,5.94522019
South Sudan,SSD,2000,2.43339673
South Sudan,SSD,2019,2.62643591
Spain,ESP,2000,16.54787741
Spain,ESP,2019,19.38182763
Sri Lanka,LKA,2000,6.20542000
Sri Lanka,LKA,2019,10.37546086
St. Kitts and Nevis,KNA,2000,7.80153600
St. Kitts and Nevis,KNA,2019,8.95605039
St. Lucia,LCA,2000,6.32849145
St. Lucia,LCA,2019,8.52717105
St. Martin (French part),MAF,2000,3.81384185
St. Martin (French part),MAF,2019,16.20970919
St. Vincent and the Grenadines,VCT,2000,7.02584878
St. Vincent and the Grenadines,VCT,2019,10.54076627
Sudan,SDN,2000,2.91421953
Sudan,SDN,2019,2.91795332
Suriname,SUR,2000,4.49445392
Suriname,SUR,2019,6.77123915
Sweden,SWE,2000,17.26413507
Sweden,SWE,2019,19.95066214
Switzerland,CHE,2000,15.33319186
Switzerland,CHE,2019,18.58214562
Syrian Arab Republic,SYR,2000,3.31790609
Syrian Arab Republic,SYR,2019,4.49468628
Tajikistan,TJK,2000,3.61844186
Tajikistan,TJK,2019,3.18626006
Tanzania,TZA,2000,2.79254271
Tanzania,TZA,2019,3.00234098
Thailand,THA,2000,6.11782602
Thailand,THA,2019,12.32875352
Timor-Leste,TLS,2000,2.36965298
Timor-Leste,TLS,2019,5.56015264
Togo,TGO,2000,2.79024283
Togo,TGO,2019,2.99903061
Tonga,TON,2000,5.40137810
Tonga,TON,2019,6.23547949
Trinidad and Tobago,TTO,2000,4.90898256
Trinidad and Tobago,TTO,2019,9.84595533
Tunisia,TUN,2000,5.48804956
Tunisia,TUN,2019,7.94574370
Turkiye,TUR,2000,5.81220499
Turkiye,TUR,2019,8.52263227
Turkmenistan,TKM,2000,4.01246913
Turkmenistan,TKM,2019,3.72875616
Turks and Caicos Islands,TCA,2000,4.00704771
Turks and Caicos Islands,TCA,2019,9.81455097
Tuvalu,TUV,2000,5.97757754
Tuvalu,TUV,2019,5.61856157
Uganda,UGA,2000,2.59212338
Uganda,UGA,2019,2.03640205
Ukraine,UKR,2000,13.41414151
Ukraine,UKR,2019,16.71629989
United Arab Emirates,ARE,2000,1.27509768
United Arab Emirates,ARE,2019,1.52798923
United Kingdom,GBR,2000,15.88975785
United Kingdom,GBR,2019,18.45795809
United States,USA,2000,12.18581699
United States,USA,2019,15.67288525
Uruguay,URY,2000,13.06281461
Uruguay,URY,2019,15.12662393
Uzbekistan,UZB,2000,4.62465397
Uzbekistan,UZB,2019,5.19811025
Vanuatu,VUT,2000,2.79309216
Vanuatu,VUT,2019,4.00620581
"Venezuela, RB",VEN,2000,4.65957763
"Venezuela, RB",VEN,2019,7.84708795
Viet Nam,VNM,2000,5.98422230
Viet Nam,VNM,2019,7.25022977
Virgin Islands (U.S.),VIR,2000,8.49293368
Virgin Islands (U.S.),VIR,2019,20.60812890
West Bank and Gaza,PSE,2000,2.28416052
West Bank and Gaza,PSE,2019,3.50508535
"Yemen, Rep.",YEM,2000,2.75108354
"Yemen, Rep.",YEM,2019,2.57211421
Zambia,ZMB,2000,2.36227995
Zambia,ZMB,2019,1.78700912
Zimbabwe,ZWE,2000,3.43720240
Zimbabwe,ZWE,2019,3.53424145
