country_name,country_code,year,gdp_per_capita
Japan,JPN,2000,39169.35957
Japan,JPN,2019,40415.95676
Jordan,JOR,2000,1570.610029
Jordan,JOR,2019,4170.1144
Kazakhstan,KAZ,2000,1180.044456
Kazakhstan,KAZ,2019,9457.126147
Kenya,KEN,2000,414.6263651
Kenya,KEN,2019,1960.408089
Kiribati,KIR,2000,845.3672402
Kiribati,KIR,2019,1750.997719
"Korea, Dem. People's Rep.",PRK,2000,..
"Korea, Dem. People's Rep.",PRK,2019,..
"Korea, Rep.",KOR,2000,12710.29958
"Korea, Rep.",KOR,2019,33826.94433
Kosovo,XKX,2000,..
Kosovo,XKX,2019,4415.99923
Kuwait,KWT,2000,19296.34717
Kuwait,KWT,2019,31707.87374
Kyrgyz Republic,KGZ,2000,279.6217385
Kyrgyz Republic,KGZ,2019,1421.999275
Lao PDR,LAO,2000,318.7498522
Lao PDR,LAO,2019,2589.32081
Latvia,LVA,2000,3278.178964
Latvia,LVA,2019,17294.97516
Lebanon,LBN,2000,3986.835139
Lebanon,LBN,2019,8905.880055
Lesotho,LSO,2000,442.7795458
Lesotho,LSO,2019,1082.057068
Liberia,LBR,2000,298.4853406
Liberia,LBR,2019,658.1641808
Libya,LBY,2000,7214.100404
Libya,LBY,2019,9963.194891
Liechtenstein,LIE,2000,76087.91111
Liechtenstein,LIE,2019,166907.8393
Lithuania,LTU,2000,3300.636349
Lithuania,LTU,2019,19608.79439
Luxembourg,LUX,2000,48659.59888
Luxembourg,LUX,2019,112696.6491
"Macao SAR, China",MAC,2000,15731.40816
"Macao SAR, China",MAC,2019,81882.69645
Madagascar,MDG,2000,280.2829056
Madagascar,MDG,2019,499.8188376
Malawi,MWI,2000,224.2241592
Malawi,MWI,2019,580.8891398
Malaysia,MYS,2000,4083.528745
Malaysia,MYS,2019,10920.19176
Maldives,MDV,2000,2213.812351
Maldives,MDV,2019,11740.2724
Mali,MLI,2000,304.6528702
Mali,MLI,2019,971.9493186
Malta,MLT,2000,10348.48589
Malta,MLT,2019,32421.91798
Marshall Islands,MHL,2000,2264.791149
Marshall Islands,MHL,2019,5292.339855
Mauritania,MRT,2000,680.9110619
Mauritania,MRT,2019,1767.072711
Mauritius,MUS,2000,3981.983432
Mauritius,MUS,2019,11568.25334
Mexico,MEX,2000,7524.027138
Mexico,MEX,2019,10369.55536
"Micronesia, Fed. Sts.",FSM,2000,2049.345325
"Micronesia, Fed. Sts.",FSM,2019,3572.659183
Moldova,MDA,2000,440.538684
Moldova,MDA,2019,4405.334182
Monaco,MCO,2000,81789.02065
Monaco,MCO,2019,193746.7856
Mongolia,MNG,2000,476.0275508
Mongolia,MNG,2019,4347.546103
Montenegro,MNE,2000,1627.065119
Montenegro,MNE,2019,8749.023752
Morocco,MAR,2000,1499.107422
Morocco,MAR,2019,3508.097656
Mozambique,MOZ,2000,327.1262398
Mozambique,MOZ,2019,519.0925509
Myanmar,MMR,2000,196.6195806
Myanmar,MMR,2019,1425.989542
Namibia,NAM,2000,2156.675905
Namibia,NAM,2019,4731.921032
Nauru,NRU,2000,2648.601529
Nauru,NRU,2019,10801.77057
Nepal,NPL,2000,223.8302892
Nepal,NPL,2019,1203.142947
Netherlands,NLD,2000,26225.16977
Netherlands,NLD,2019,53554.90075
New Caledonia,NCL,2000,15329.72972
New Caledonia,NCL,2019,33411.33588
New Zealand,NZL,2000,13641.10272
New Zealand,NZL,2019,42855.83186
Nicaragua,NIC,2000,1017.312443
Nicaragua,NIC,2019,1958.620515
Niger,NER,2000,194.7719599
Niger,NER,2019,561.6913043
Nigeria,NGA,2000,547.3182989
Nigeria,NGA,2019,3189.812865
North Macedonia,MKD,2000,1861.898998
North Macedonia,MKD,2019,6718.858266
Northern Mariana Islands,MNP,2000,..
Northern Mariana Islands,MNP,2019,24496.66521
Norway,NOR,2000,38178.23688
Norway,NOR,2019,76430.58895
Oman,OMN,2000,9753.847552
Oman,OMN,2019,19180.18642
Pakistan,PAK,2000,642.3383465
Pakistan,PAK,2019,1390.41691
Palau,PLW,2000,7798.075042
Palau,PLW,2019,15846.79685
Panama,PAN,2000,3975.093103
Panama,PAN,2019,16477.90663
Papua New Guinea,PNG,2000,635.957919
Papua New Guinea,PNG,2019,2575.772741
Paraguay,PRY,2000,1736.117292
Paraguay,PRY,2019,5821.181995
Peru,PER,2000,1945.413385
Peru,PER,2019,7037.008037
Philippines,PHL,2000,1050.792731
Philippines,PHL,2019,3400.789498
Poland,POL,2000,4520.641004
Poland,POL,2019,15874.52205
Portugal,PRT,2000,11526.37207
Portugal,PRT,2019,23343.3629
Puerto Rico (US),PRI,2000,16192.12697
Puerto Rico (US),PRI,2019,31830.5285
Qatar,QAT,2000,27535.18294
Qatar,QAT,2019,66841.36232
Romania,ROU,2000,1659.929049
Romania,ROU,2019,12909.6104
Russian Federation,RUS,2000,1771.594116
Russian Federation,RUS,2019,11447.70117
Rwanda,RWA,2000,251.8692639
Rwanda,RWA,2019,810.0514121
Samoa,WSM,2000,1424.7524
Samoa,WSM,2019,4351.942349
San Marino,SMR,2000,37600.70774
San Marino,SMR,2019,46630.14431
Sao Tome and Principe,STP,2000,529.0893834
Sao Tome and Principe,STP,2019,1935.293182
Saudi Arabia,SAU,2000,11714.56237
Saudi Arabia,SAU,2019,29566.79338
Senegal,SEN,2000,603.2331625
Senegal,SEN,2019,1431.181289
Serbia,SRB,2000,974.7254693
Serbia,SRB,2019,7755.632986
Seychelles,SYC,2000,8063.655006
Seychelles,SYC,2019,19141.51187
Sierra Leone,SLE,2000,143.7437432
Sierra Leone,SLE,2019,843.7125178
Singapore,SGP,2000,23852.83895
Singapore,SGP,2019,65952.0379
Sint Maarten (Dutch part),SXM,2000,..
Sint Maarten (Dutch part),SXM,2019,34861.46953
Slovak Republic,SVK,2000,5421.644844
Slovak Republic,SVK,2019,19406.05897
Slovenia,SVN,2000,10135.72191
Slovenia,SVN,2019,25814.16872
Solomon Islands,SLB,2000,953.1719014
Solomon Islands,SLB,2019,2223.658909
"Somalia, Fed. Rep.",SOM,2000,386.1192744
"Somalia, Fed. Rep.",SOM,2019,539.9548162
South Africa,ZAF,2000,3217.846934
South Africa,ZAF,2019,6533.71121
South Sudan,SSD,2000,..
South Sudan,SSD,2019,..
Spain,ESP,2000,14743.2671
Spain,ESP,2019,29786.52457
Sri Lanka,LKA,2000,860.1998843
Sri Lanka,LKA,2019,4081.947727
St. Kitts and Nevis,KNA,2000,9319.655451
St. Kitts and Nevis,KNA,2019,23595.49232
St. Lucia,LCA,2000,5879.561914
St. Lucia,LCA,2019,11794.05972
St. Martin (French part),MAF,2000,..
St. Martin (French part),MAF,2019,19033.06496
St. Vincent and the Grenadines,VCT,2000,3768.955366
St. Vincent and the Grenadines,VCT,2019,8740.594252
Sudan,SDN,2000,362.1168823
Sudan,SDN,2019,709.9752808
Suriname,SUR,2000,1988.221729
Suriname,SUR,2019,6629.667752
Sweden,SWE,2000,29632.58908
Sweden,SWE,2019,51648.98928
Switzerland,CHE,2000,38865.02194
Switzerland,CHE,2019,84121.93103
Syrian Arab Republic,SYR,2000,1138.188485
Syrian Arab Republic,SYR,2019,1109.53926
Tajikistan,TJK,2000,136.9257164
Tajikistan,TJK,2019,871.0223729
Tanzania,TZA,2000,401.6981506
Tanzania,TZA,2019,1063.32251
Thailand,THA,2000,2005.976945
Thailand,THA,2019,7605.696578
Timor-Leste,TLS,2000,492.4576379
Timor-Leste,TLS,2019,1562.364581
Togo,TGO,2000,409.8898028
Togo,TGO,2019,826.255209
Tonga,TON,2000,1995.076675
Tonga,TON,2019,4788.833423
Trinidad and Tobago,TTO,2000,6178.589756
Trinidad and Tobago,TTO,2019,17212.61289
Tunisia,TUN,2000,2199.044659
Tunisia,TUN,2019,3528.872133
Turkiye,TUR,2000,4199.379864
Turkiye,TUR,2019,9395.23378
Turkmenistan,TKM,2000,633.8354876
Turkmenistan,TKM,2019,5998.001743
Turks and Caicos Islands,TCA,2000,..
Turks and Caicos Islands,TCA,2019,31780.52171
Tuvalu,TUV,2000,1579.419063
Tuvalu,TUV,2019,5115.13076
Uganda,UGA,2000,258.0503387
Uganda,UGA,2019,822.17115
Ukraine,UKR,2000,653.2943115
Ukraine,UKR,2019,3619.861572
United Arab Emirates,ARE,2000,29865.50235
United Arab Emirates,ARE,2019,45938.60736
United Kingdom,GBR,2000,28383.87611
United Kingdom,GBR,2019,43158.74113
United States,USA,2000,36329.95607
United States,USA,2019,64746.45068
Uruguay,URY,2000,6987.700988
Uruguay,URY,2019,18315.7317
Uzbekistan,UZB,2000,555.1492311
Uzbekistan,UZB,2019,2041.384807
Vanuatu,VUT,2000,1460.238177
Vanuatu,VUT,2019,3207.446505
"Venezuela, RB",VEN,2000,4776.281676
"Venezuela, RB",VEN,2019,2523.112752
Viet Nam,VNM,2000,404.0297841
Viet Nam,VNM,2019,3440.900254
Virgin Islands (U.S.),VIR,2000,..
Virgin Islands (U.S.),VIR,2019,38633.52989
West Bank and Gaza,PSE,2000,1476.17185
West Bank and Gaza,PSE,2019,3656.858271
"Yemen, Rep.",YEM,2000,493.2351826
"Yemen, Rep.",YEM,2019,..
Zambia,ZMB,2000,359.429501
Zambia,ZMB,2019,1258.986198
Zimbabwe,ZWE,2000,562.8337575
Zimbabwe,ZWE,2019,2184.329239
